team_1,team_2,winner,loser,resolution
Czechia,Switzerland,Switzerland,Czechia,Regular Time
Ecuador,Scotland,Ecuador,Scotland,Regular Time
Japan,Morocco,Morocco,Japan,Regular Time
Brazil,Netherlands,Brazil,Netherlands,Regular Time
France,Sweden,France,Sweden,Extra Time
Germany,Norway,Germany,Norway,Extra Time
Mexico,Cape Verde,Mexico,Cape Verde,Regular Time
Croatia,Algeria,Algeria,Croatia,Regular Time
United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina,Regular Time
Belgium,South Korea,Belgium,South Korea,Regular Time
Portugal,England,England,Portugal,Regular Time
Spain,Algeria,Spain,Algeria,Regular Time
Canada,Egypt,Egypt,Canada,Regular Time
Argentina,Uruguay,Argentina,Uruguay,Regular Time
Colombia,Ivory Coast,Colombia,Ivory Coast,Regular Time
Turkey,Iran,Turkey,Iran,Regular Time
