match_number,match_date,stage,venue_code,stadium,host_city,country
1,2026-06-11,Group Stage,mexico-city,Estadio Azteca,Ciudad de México,Mexico
2,2026-06-11,Group Stage,guadalajara,Estadio Guadalajara,Guadalajara,Mexico
3,2026-06-12,Group Stage,toronto,Toronto Stadium,Toronto,Canada
4,2026-06-12,Group Stage,los-angeles,Los Angeles Stadium,Los Angeles,United States
5,2026-06-13,Group Stage,boston,Boston Stadium,Boston,United States
6,2026-06-13,Group Stage,vancouver,BC Place,Vancouver,Canada
7,2026-06-13,Group Stage,new-york-new-jersey,New York New Jersey Stadium,New York New Jersey,United States
8,2026-06-13,Group Stage,san-francisco-bay-area,San Francisco Bay Area Stadium,San Francisco Bay Area,United States
9,2026-06-14,Group Stage,philadelphia,Philadelphia Stadium,Philadelphia,United States
10,2026-06-14,Group Stage,houston,Houston Stadium,Houston,United States
11,2026-06-14,Group Stage,dallas,Dallas Stadium,Dallas,United States
12,2026-06-14,Group Stage,monterrey,Estadio Monterrey,Monterrey,Mexico
13,2026-06-15,Group Stage,miami,Miami Stadium,Miami,United States
14,2026-06-15,Group Stage,atlanta,Atlanta Stadium,Atlanta,United States
15,2026-06-15,Group Stage,los-angeles,Los Angeles Stadium,Los Angeles,United States
16,2026-06-15,Group Stage,seattle,Seattle Stadium,Seattle,United States
17,2026-06-16,Group Stage,new-york-new-jersey,New York New Jersey Stadium,New York New Jersey,United States
18,2026-06-16,Group Stage,boston,Boston Stadium,Boston,United States
19,2026-06-16,Group Stage,kansas-city,Kansas City Stadium,Kansas City,United States
20,2026-06-16,Group Stage,san-francisco-bay-area,San Francisco Bay Area Stadium,San Francisco Bay Area,United States
21,2026-06-17,Group Stage,toronto,Toronto Stadium,Toronto,Canada
22,2026-06-17,Group Stage,dallas,Dallas Stadium,Dallas,United States
23,2026-06-17,Group Stage,houston,Houston Stadium,Houston,United States
24,2026-06-17,Group Stage,mexico-city,Estadio Azteca,Ciudad de México,Mexico
25,2026-06-18,Group Stage,atlanta,Atlanta Stadium,Atlanta,United States
26,2026-06-18,Group Stage,los-angeles,Los Angeles Stadium,Los Angeles,United States
27,2026-06-18,Group Stage,vancouver,BC Place,Vancouver,Canada
28,2026-06-18,Group Stage,guadalajara,Estadio Guadalajara,Guadalajara,Mexico
29,2026-06-19,Group Stage,philadelphia,Philadelphia Stadium,Philadelphia,United States
30,2026-06-19,Group Stage,boston,Boston Stadium,Boston,United States
31,2026-06-19,Group Stage,san-francisco-bay-area,San Francisco Bay Area Stadium,San Francisco Bay Area,United States
32,2026-06-19,Group Stage,seattle,Seattle Stadium,Seattle,United States
33,2026-06-20,Group Stage,toronto,Toronto Stadium,Toronto,Canada
34,2026-06-20,Group Stage,kansas-city,Kansas City Stadium,Kansas City,United States
35,2026-06-20,Group Stage,houston,Houston Stadium,Houston,United States
36,2026-06-20,Group Stage,monterrey,Estadio Monterrey,Monterrey,Mexico
37,2026-06-21,Group Stage,miami,Miami Stadium,Miami,United States
38,2026-06-21,Group Stage,atlanta,Atlanta Stadium,Atlanta,United States
39,2026-06-21,Group Stage,los-angeles,Los Angeles Stadium,Los Angeles,United States
40,2026-06-21,Group Stage,vancouver,BC Place,Vancouver,Canada
41,2026-06-22,Group Stage,new-york-new-jersey,New York New Jersey Stadium,New York New Jersey,United States
42,2026-06-22,Group Stage,philadelphia,Philadelphia Stadium,Philadelphia,United States
43,2026-06-22,Group Stage,dallas,Dallas Stadium,Dallas,United States
44,2026-06-22,Group Stage,san-francisco-bay-area,San Francisco Bay Area Stadium,San Francisco Bay Area,United States
45,2026-06-23,Group Stage,boston,Boston Stadium,Boston,United States
46,2026-06-23,Group Stage,toronto,Toronto Stadium,Toronto,Canada
47,2026-06-23,Group Stage,houston,Houston Stadium,Houston,United States
