country_code,points,goal_difference,goals_for,goals_against,form_score
AD,4,-4,2,6,1.6
AF,3,-6,3,9,0.3
AI,3,-2,3,5,1.5
AL,0,-4,1,5,-1.2
AM,1,-1,2,3,0.4
AO,1,0,1,1,0.7
AR,9,8,9,1,8.7
AS,0,-9,2,11,-2.7
AT,9,6,7,1,8.1
AU,7,4,7,3,6.1
AW,6,2,8,6,4.8
AZ,4,3,7,4,3.7
BA,4,0,3,3,2.8
BB,0,-3,3,6,-0.9
BD,3,-3,2,5,1.2
BE,10,10,13,3,10.0
BF,4,2,6,4,3.4
BG,7,8,13,5,7.3
BH,0,-2,0,2,-0.6
BI,6,3,8,5,5.1
BJ,7,2,3,1,5.5
BM,0,-5,0,5,-1.5
BN,0,-4,1,5,-1.2
BO,6,-1,6,7,3.9
BQ,3,-3,3,6,1.2
BR,9,6,12,6,8.1
BS,0,-3,1,4,-0.9
BT,3,-6,3,9,0.3
BW,3,-2,1,3,1.5
BY,9,5,7,2,7.8
BZ,0,-3,3,6,-0.9
CA,6,2,5,3,4.8
CD,7,3,3,0,5.8
CF,1,0,1,1,0.7
CH,5,2,8,6,4.1
CI,9,6,7,1,8.1
CL,3,-2,6,8,1.5
CM,3,1,2,1,2.4
CN,6,1,4,3,4.5
CO,6,1,7,6,4.5
CR,1,-7,3,10,-1.4
CU,2,0,3,3,1.4
CV,7,4,9,5,6.1
CW,3,-5,6,11,0.6
CY,7,2,6,4,5.5
CZ,8,3,9,6,6.5
DE,12,7,12,5,10.5
DJ,3,-3,1,4,1.2
DK,8,5,8,3,7.1
DM,1,-2,0,2,0.1
DO,2,-2,5,7,0.8
DZ,7,8,8,0,7.3
EC,8,4,7,3,6.8
EE,4,-1,2,3,2.5
EG,7,4,6,2,6.1
EI,4,-1,2,3,2.5
EN,4,0,2,2,2.8
ER,6,3,4,1,5.1
ES,5,3,4,1,4.4
ET,9,5,5,0,7.8
FI,4,-3,4,7,1.9
FJ,0,-1,1,2,-0.3
FO,3,0,2,2,2.1
FR,6,2,6,4,4.8
GA,1,-2,3,5,0.1
GD,0,-12,0,12,-3.6
GE,8,4,7,3,6.8
GH,1,-7,3,10,-1.4
GI,6,5,8,3,5.7
GM,0,-4,2,6,-1.2
GN,1,-2,2,4,0.1
GQ,4,1,2,1,3.1
GR,2,-2,2,4,0.8
GT,0,-12,1,13,-3.6
GU,3,-7,8,15,-0.0
GW,1,-5,1,6,-0.8
GY,6,4,5,1,5.4
HK,3,1,3,2,2.4
HN,1,-2,2,4,0.1
HR,6,-2,5,7,3.6
HT,4,2,6,4,3.4
HU,7,2,3,1,5.5
ID,6,6,7,1,6.0
IE,9,6,9,3,8.1
IL,4,1,3,2,3.1
IN,3,-4,3,7,0.9
IQ,7,2,4,2,5.5
IR,9,8,11,3,8.7
IS,2,-1,3,4,1.1
IT,10,4,5,1,8.2
JM,7,-1,4,5,4.6
JO,2,-5,5,10,-0.1
JP,9,3,3,0,7.2
KE,8,7,9,2,7.7
KG,1,-4,2,6,-0.5
KH,3,4,4,0,3.3
KM,1,-1,0,1,0.4
KN,3,-2,4,6,1.5
KO,6,2,8,6,4.8
KR,6,1,6,5,4.5
KW,1,0,2,2,0.7
KY,4,-2,3,5,2.2
KZ,7,3,4,1,5.8
LA,3,1,1,0,2.4
LB,0,-2,0,2,-0.6
LC,0,-5,1,6,-1.5
LI,3,-6,2,8,0.3
LK,6,5,7,2,5.7
LR,1,-2,2,4,0.1
LS,5,-3,3,6,2.6
LT,4,0,3,3,2.8
LU,9,5,6,1,7.8
LV,7,2,3,1,5.5
LY,2,0,2,2,1.4
MA,11,10,13,3,10.7
MD,1,-3,4,7,-0.2
ME,7,2,7,5,5.5
MF,6,5,6,1,5.7
MG,4,-1,6,7,2.5
ML,1,-2,0,2,0.1
MM,9,7,10,3,8.4
MN,0,-6,0,6,-1.8
MO,0,-9,1,10,-2.7
MQ,1,-1,2,3,0.4
MR,1,-1,2,3,0.4
MT,3,-4,3,7,0.9
MU,2,0,0,0,1.4
MV,3,-3,2,5,1.2
MW,0,-2,0,2,-0.6
MX,11,7,9,2,9.8
MY,0,-2,1,3,-0.6
MZ,0,-3,1,4,-0.9
NC,0,-1,0,1,-0.3
NE,2,-1,1,2,1.1
NG,11,6,11,5,9.5
NI,1,-6,1,7,-1.1
