match_id,team_a_slot,team_b_slot,stage,team_a,team_b
73,2A,2B,Round of 32,Czechia,Switzerland
74,1E,3_ABCDF,Round of 32,Ecuador,3_ABCDF
75,1F,2C,Round of 32,Japan,Morocco
76,1C,2F,Round of 32,Brazil,Netherlands
77,1I,3_CDFGH,Round of 32,France,3_CDFGH
78,2E,2I,Round of 32,Germany,Norway
79,1A,3_CEFHI,Round of 32,Mexico,3_CEFHI
80,1L,3_EHIJK,Round of 32,Croatia,3_EHIJK
81,1D,3_BEFIJ,Round of 32,United States,3_BEFIJ
82,1G,3_AEHIJ,Round of 32,Belgium,3_AEHIJ
83,2K,2L,Round of 32,Portugal,England
84,1H,2J,Round of 32,Spain,Algeria
85,1B,3_EFGIJ,Round of 32,Canada,3_EFGIJ
86,1J,2H,Round of 32,Argentina,Uruguay
87,1K,3_DEIJL,Round of 32,Colombia,3_DEIJL
88,2D,2G,Round of 32,Turkey,Iran
