venue_code,stadium,host_city,country
mexico-city,Estadio Azteca,Ciudad de México,Mexico
guadalajara,Estadio Guadalajara,Guadalajara,Mexico
monterrey,Estadio Monterrey,Monterrey,Mexico
toronto,Toronto Stadium,Toronto,Canada
vancouver,BC Place,Vancouver,Canada
los-angeles,Los Angeles Stadium,Los Angeles,United States
san-francisco-bay-area,San Francisco Bay Area Stadium,San Francisco Bay Area,United States
seattle,Seattle Stadium,Seattle,United States
boston,Boston Stadium,Boston,United States
new-york-new-jersey,New York New Jersey Stadium,New York New Jersey,United States
philadelphia,Philadelphia Stadium,Philadelphia,United States
houston,Houston Stadium,Houston,United States
dallas,Dallas Stadium,Dallas,United States
kansas-city,Kansas City Stadium,Kansas City,United States
miami,Miami Stadium,Miami,United States
atlanta,Atlanta Stadium,Atlanta,United States
